프로젝트,선종,선종.1,업체구분,검사길이,불량길이,검사방법,검사자ID,과,검사실적입력일,NDE업체,용도판정,사유코드,사유코드 설명,직반장사번,직반장성명,직반장 Vendor 코드,용접사사번,용접사성명,용접완료일,용접방법
P13,COT,C,Vendor,1200.0,해당없음,초음파,ID00000038,D32,2023-03-31,NC2,승인,해당없음,해당없음,A000004,신*득,V3,W000014,박*웅,2023-03-28,EGW
P13,COT,C,Vendor,1200.0,해당없음,초음파,ID00000038,D32,2023-03-31,NC2,승인,해당없음,해당없음,A000004,신*득,V3,W000014,박*웅,2023-03-28,EGW
P13,COT,C,Vendor,1200.0,해당없음,초음파,ID00000039,D32,2023-03-31,NC2,승인,해당없음,해당없음,A000004,신*득,V3,W009129,황*,2023-03-28,FCAW
P13,COT,C,Vendor,1200.0,해당없음,초음파,ID00000039,D32,2023-03-31,NC2,승인,해당없음,해당없음,A000005,오*환,V4,W001500,김*호,2023-03-28,FCAW
P13,COT,C,Vendor,1200.0,해당없음,초음파,ID00000039,D32,2023-03-31,NC2,승인,해당없음,해당없음,A000005,오*환,V4,W001500,김*호,2023-03-28,FCAW
P13,COT,C,Vendor,1200.0,해당없음,초음파,ID00000039,D32,2023-03-31,NC2,승인,해당없음,해당없음,A000004,신*득,V3,W009129,황*,2023-03-28,FCAW
P30,LNG,B,SHI,1200.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000072,이*상,직영,W001019,이*용,2023-02-19,FCSA
P30,LNG,B,Vendor,1200.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000047,옥*호,V20,W007273,옥*호,2023-03-17,FCAW
P30,LNG,B,Vendor,1200.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000047,옥*호,V20,W007273,옥*호,2023-03-17,FCAW
P30,LNG,B,Vendor,1200.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000047,옥*호,V20,W007273,옥*호,2023-03-17,FCAW
P30,LNG,B,Vendor,820.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000047,옥*호,V20,W006781,김*열,2023-03-17,FCAW
P30,LNG,B,SHI,1200.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000072,이*상,직영,W001019,이*용,2023-02-19,FCSA
P30,LNG,B,SHI,1200.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000072,이*상,직영,W001019,이*용,2023-02-19,FCSA
P30,LNG,B,Vendor,1200.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000047,옥*호,V20,W007273,옥*호,2023-03-17,FCAW
P30,LNG,B,Vendor,1200.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000047,옥*호,V20,W007273,옥*호,2023-03-17,FCAW
P30,LNG,B,Vendor,540.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000047,옥*호,V20,W006781,김*열,2023-03-17,FCAW
P30,LNG,B,Vendor,820.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000047,옥*호,V20,W006781,김*열,2023-03-17,FCAW
P30,LNG,B,Vendor,820.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000047,옥*호,V20,W006781,김*열,2023-03-17,FCAW
P30,LNG,B,SHI,1200.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000072,이*상,직영,W001019,이*용,2023-02-19,FCSA
P30,LNG,B,Vendor,770.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000047,옥*호,V20,W006781,김*열,2023-03-17,FCAW
P30,LNG,B,SHI,1200.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000072,이*상,직영,W001019,이*용,2023-02-19,FCSA
P30,LNG,B,Vendor,770.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000047,옥*호,V20,W006781,김*열,2023-03-17,FCAW
P30,LNG,B,Vendor,700.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000047,옥*호,V20,W007273,옥*호,2023-03-17,FCAW
P30,LNG,B,Vendor,700.0,해당없음,초음파,ID00000029,D10,2023-03-31,NC2,승인,해당없음,해당없음,A000047,옥*호,V20,W007273,옥*호,2023-03-17,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,1200.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,1200.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
P03,LNG,B,Vendor,700.0,해당없음,초음파,ID00000032,D31,2023-04-01,NC3,승인,해당없음,해당없음,A000013,장*구,V8,W022605,이*우,2023-03-26,FCAW
